DATA SLA LIGHTNING DETECTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULAN JANUARI 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,LOKASI LD,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persentase Aktif (%)
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
7,Stageof Sorong,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,OFF,ON,ON,ON,ON,ON,,,,96.4%
TOTAL PERSENTASI BULANAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.2%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA OLA LIGHTNING DETECTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULAN FEBRUARI 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,LOKASI LD,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persentase Aktif (%)
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,-,-,-,
1,Balai Besar MKG Wilayah V ,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,100.0%
2,Stageof Angkasa,87%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,99.5%
3,Stamet Biak,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,100.0%
