DATA SLA ACCELEROGRAPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULAN JANUARI 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Lokasi Accelerograph Non-Collocated,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persentase Aktif (%)
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
5,Stamet Timika ( TMPI),ON,ON,OFF,OFF,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,,,,92.9%
6,Stamet Manokwari( MAPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,,,,100.0%
7,Stamet Enarotali (ERPN),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,,,,100.0%
TOTAL PERSENTASE BULANAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.8%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA OLA ACCELEROGRAPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULAN FEBRUARI 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,LOKASI Accelerograph NON COLOCCATED,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persentase Aktif (%)
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
1,Balai Besar MKG Wilayah V (JBPI),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,51%,100%,100%,100%,100%,100%,100%,100%,,,,26.8%
2,Stageof Angkasa (JGPI),87%,100%,100%,100%,100%,100%,100%,68%,81%,100%,100%,100%,100%,100%,94%,86%,100%,100%,100%,20%,85%,95%,80%,100%,45%,75%,80%,71%,,,,88.1%
3,Stamet Sentani ( JMPI),100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,100.0%
4,Stamet Biak ( BMPI),100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,57%,100%,100%,100%,100%,100%,100%,100%,100%,,,,98.5%
5,Stamet Timika ( TMPI),100%,100%,9%,0%,91%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,60%,100%,100%,100%,60%,90%,100%,100%,100%,100%,,,,89.6%
6,Stamet Manokwari (MAPI),100%,100%,100%,100%,99%,92%,99%,99%,99%,99%,99%,99%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,,,,98.9%
7,Stamet Enarotali (ERPN),91%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,99.6%
TOTAL PERSENTASE BULANAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.9%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA SLA ACCELEROGRAPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULAN MARET 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Lokasi Accelerograph Non-Collocated,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persentase Aktif (%)
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
1,Balai Besar MKG Wilayah V (JBPI),OFF,OFF,OFF,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,90.3%
2,Stageof Angkasa (JGPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,100.0%
3,Stamet Sentani (JMPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,100.0%
4,Stamet Biak (BMPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,100.0%
5,Stamet Timika (TMPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,100.0%
6,Stamet Manokwari( MAPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,100.0%
7,Stamet Enarotali (ERPN),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,100.0%
TOTAL PERSENTASE BULANAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA OLA ACCELEROGRAPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULAN MARET 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,LOKASI Accelerograph NON COLOCCATED,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persentase Aktif (%)
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
1,Balai Besar MKG Wilayah V (JBPI),0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,17%,17%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,88.2%
2,Stageof Angkasa (JGPI),85%,73%,100%,20%,65%,95%,80%,80%,67%,45%,72%,53%,80%,50%,60%,100%,100%,76%,55%,55%,80%,100%,100%,54%,80%,62%,100%,80%,100%,100%,100%,76.4%
3,Stamet Sentani ( JMPI),100%,100%,100%,100%,100%,100%,100%,100%,91%,80%,89%,100%,80%,80%,80%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,96.8%
4,Stamet Biak ( BMPI),100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,55%,98.5%
5,Stamet Timika ( TMPI),100%,100%,100%,100%,100%,100%,60%,90%,96%,97%,98%,94%,100%,100%,100%,100%,100%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97.8%
6,Stamet Manokwari (MAPI),67%,80%,99%,99%,99%,99%,49%,99%,96%,96%,97%,67%,99%,99%,99%,99%,93%,97%,98%,98%,99%,99%,99%,99%,93%,99%,99%,97%,92%,99%,99%,93.6%
7,Stamet Enarotali (ERPN),100%,100%,100%,97%,100%,100%,100%,100%,97%,100%,100%,90%,100%,95%,96%,97%,98%,100%,100%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99.0%
TOTAL PERSENTASE BULANAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA SLA ACCELEROGRAPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULAN APRIL 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Lokasi Accelerograph Non-Collocated,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persentase Aktif (%)
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,-,
1,Balai Besar MKG Wilayah V (JBPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,,100.0%
2,Stageof Angkasa (JGPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,,100.0%
3,Stamet Sentani ( JMPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,,100.0%
4,Stamet Biak ( BMPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,,100.0%
5,Stamet Timika ( TMPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,,100.0%
6,Stamet Manokwari( MAPI),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,OFF,OFF,OFF,OFF,,,,,85.2%
7,Stamet Enarotali (ERPN),ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,,100.0%
TOTAL PERSENTASE BULANAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.9%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA OLA ACCELEROGRAPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULAN APRIL 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,LOKASI Accelerograph NON COLOCCATED,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persentase Aktif (%)
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
1,Balai Besar MKG Wilayah V (JBPI),100%,100%,100%,100%,100%,100%,100%,100%,73%,100%,100%,100%,100%,100%,100%,100%,100%,98%,100%,100%,100%,100%,99%,100%,99%,99%,99%,99%,98%,100%,,98.8%
2,Stageof Angkasa (JGPI),100%,100%,100%,62%,55%,60%,30%,100%,74%,54%,79%,81%,100%,56%,81%,80%,100%,78%,60%,80%,60%,51%,24%,59%,80%,100%,75%,100%,75%,80%,,74.5%
3,Stamet Sentani ( JMPI),100%,80%,60%,100%,100%,95%,100%,98%,100%,100%,100%,81%,95%,93%,98%,92%,100%,75%,100%,100%,100%,100%,82%,97%,98%,96%,92%,99%,98%,80%,,93.6%
4,Stamet Biak ( BMPI),100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,80%,100%,53%,100%,100%,100%,100%,75%,79%,100%,100%,100%,99%,98%,100%,,96.1%
5,Stamet Timika ( TMPI),100%,100%,100%,62%,96%,99%,88%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,91%,94%,100%,100%,96%,99%,100%,100%,100%,100%,99%,98%,100%,,97.4%
6,Stamet Manokwari (MAPI),54%,93%,99%,97%,87%,99%,84%,99%,55%,49%,57%,98%,89%,99%,99%,99%,96%,44%,99%,97%,97%,96%,98%,24%,0%,0%,10%,99%,97%,99%,,77.1%
7,Stamet Enarotali (ERPN),100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,99.9%
TOTAL PERSENTASE BULANAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.1%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
